path,extension,size_bytes,line_count,sha256
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment/orig.c,.c,740,42,f8fd0074ab72610242a3202d950f0cc66aa0d38468611827204b0b4b9e775848
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment2/irix-g-out.c,.c,627,23,2361053fa844d1768e44168246a2801f6b529e8bdbe649de4703abd12996ef03
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment2/irix-g.s,.s,3944,87,ff4642f4877f075e49bc528daea00c645c34391e052b0a1a9533d341fb1787d2
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment2/irix-o2-out.c,.c,1121,39,6ff25787f58b69f942c25bbe007e68841295ff485755788e0c18dd50e25e2ce2
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment2/irix-o2.s,.s,3037,66,ea2e9c921167bdf173051fdd471cef3c00b570ad30ae216cfc003ec6b1291ba7
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment2/mwcc-o4p-flags.txt,.txt,20,1,2bf07e69816a4bcbb348d7cab0d9502c232044c96b4eef87adddfef432d950e8
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment2/mwcc-o4p-out.c,.c,689,25,6342ad7c7f118827b76fe9275b9f31f5a6cbd2a7ada8dab4ebddba8b9c17fd47
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment2/mwcc-o4p.s,.s,2292,55,28d97bb1c01eac9d8613a689f59fa86404165c07c65c71c53919217802973e6c
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_assignment2/orig.c,.c,480,26,05e3d7f8a1adb67e1ec6d8cde5941c4b28a39e762fcd9c74763a4d664a3c875d
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_loops/irix-g-out.c,.c,1447,65,13160f275e62f9c30e3b62060aa33d664e6036b68c8b5d32c1efe546c6b4fe62
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_loops/irix-g.s,.s,5359,132,7e55f36677c4d56649356b79090b886b5df8b0f6ff0d2da10090a46fd01766ae
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_loops/irix-o2-out.c,.c,2350,91,7ac2b8e45c01bc4d0cf2002a4bfd711f4beda347cab691041f033ba7d9810ddc
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_loops/irix-o2.s,.s,3556,87,e9d5342f6d837b039e941c04f9eb7ec2313c61ca565a42eea9890afac6a12d65
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_loops/mwcc-o4p-flags.txt,.txt,20,1,2bf07e69816a4bcbb348d7cab0d9502c232044c96b4eef87adddfef432d950e8
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_loops/mwcc-o4p-out.c,.c,1543,65,fd91579904e51014f34470bfd26efdfc28d7b310458372b5e0f434b1d613da4c
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_loops/mwcc-o4p.s,.s,3366,83,89a6ecbb49fa285aa9b42aa5a9c9f6925626e941c0218bc10fba4d5e444c40cb
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_loops/orig.c,.c,595,38,f8cd623a75cc37c80ae86625a9b4e2d20e5364c23dcc2953d6377ac189702ece
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_mixed/irix-g-out.c,.c,1489,53,a6d1563a7335169a05f6295e5a6d962585eac069d5da9159bd9ed353cd816805
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_mixed/irix-g.s,.s,6873,172,4886f5f7b3a01cac44d0c3c5f731d4b0838baa92b0ebe00128849a5a6fcc8663
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_mixed/irix-o2-out.c,.c,1466,49,2982de4d0046d8932c9c5e7d3c827be54a068bf2aad09553629516eba0d05e10
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_mixed/irix-o2.s,.s,5533,137,9746ee2d4f0255a31939f66afcf5f39543212ed10d5aad2a2090c437a690f186
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_mixed/mwcc-o4p-flags.txt,.txt,20,1,2bf07e69816a4bcbb348d7cab0d9502c232044c96b4eef87adddfef432d950e8
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_mixed/mwcc-o4p-out.c,.c,2653,53,815299719766e850fa457b794f2021ae2a65356d00e4478c5228fb5fd79e79de
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_mixed/mwcc-o4p.s,.s,5629,139,e5588b2a1d74a18ee5c3f92f272cf6eda6ae24acd1ea84655d4ef3f52bfbad50
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_mixed/orig.c,.c,754,43,2556585a58ba932d9ab5e7d7a5adcffa291e930455e09c3735c97ff96996b3f6
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_return/irix-g-out.c,.c,183,6,e7cf6b940a29da8e084f8456b895a8746046b0d0583e70cacb2073b3de9491c9
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_return/irix-g.s,.s,856,27,6c1c5d6a5551f862c50f3b430b2074551d4a8248fadb09d55589a10149a723af
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_return/irix-o2-out.c,.c,183,6,e7cf6b940a29da8e084f8456b895a8746046b0d0583e70cacb2073b3de9491c9
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_return/irix-o2.s,.s,887,26,48e56a9365a10f7c86dbb36970412c35285d8f5538a59d759f6113e73d31a8cb
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_return/mwcc-o4p-flags.txt,.txt,20,1,2bf07e69816a4bcbb348d7cab0d9502c232044c96b4eef87adddfef432d950e8
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_return/mwcc-o4p-out.c,.c,183,6,e7cf6b940a29da8e084f8456b895a8746046b0d0583e70cacb2073b3de9491c9
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_return/mwcc-o4p.s,.s,701,22,e4436a84d4cd4ddd93211173418ef9a324c4ae0ae40ed9ac6f326a6ab91b0c44
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/andor_return/orig.c,.c,119,6,58ef645222004cacd9a28d49ca3aeeb694559fd9a5b5b947481c5116a8ea1bad
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arguments/irix-g-out.c,.c,187,7,6c625eb7318dba4639b433930ea9f186becea61cc7618ac8609e43debe166404
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arguments/irix-g.s,.s,937,22,2e7000cf77e3904475c8cd96f01baaad053b41b0e45da4c55321e34e2ad8fb47
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arguments/irix-o2-out.c,.c,187,7,fad071edb27f8a09ea7ee45be21964e6105333a6f2600f8785bf2bdc3ace26cd
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arguments/irix-o2.s,.s,750,17,f8dbfef18d269e9e519bd36b53f9d5e16d05a6052be52e43f3b334d1d4205f23
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arguments/mwcc-o4p-flags.txt,.txt,20,1,2bf07e69816a4bcbb348d7cab0d9502c232044c96b4eef87adddfef432d950e8
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arguments/mwcc-o4p-out.c,.c,187,7,2c49fffc8d89ecaf38a96b7506568bc733351dbf2c0eb2ae501b79ea923b2648
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arguments/mwcc-o4p.s,.s,571,24,5ee3470bf2f27241b65d94164ac5a90a357e4ccc232dfa0b104228d0d3d612ad
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arguments/orig.c,.c,153,7,c1cf6274e7c14ca2385093d73e6fba3effcb76eba0e3ae789db48f454bbb6283
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/array-access/irix-g-flags.txt,.txt,17,1,09ce3d41314ad9dc1d385ee8e05bde360ed9d277350612cdd2a0653f8ab05a06
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/array-access/irix-g-out.c,.c,295,11,cd8a2742966939762371e7e059f814883a411c5a62984f8b636d17ed71665b74
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/array-access/irix-g.s,.s,2009,43,cbf52e399a057944ac1008ae95ecc81c5515f45eb7c0c8f681d29097ceb713ca
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/array-access/irix-o2-flags.txt,.txt,17,1,09ce3d41314ad9dc1d385ee8e05bde360ed9d277350612cdd2a0653f8ab05a06
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/array-access/irix-o2-out.c,.c,295,11,9ebce23733bd565070a20b3a5d51d899f0fcff7dc189104e273859e4147e5881
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/array-access/irix-o2.s,.s,1318,30,dfb5f5742c6581777e7120a054267c36102c9fe5aa5ab8caaf30d57d43898a59
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/array-access/mwcc-o4p-flags.txt,.txt,37,1,caf8e4d247780ddd9baf36649927ba5f50891892b75dffccaff0902c86115d14
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/array-access/mwcc-o4p-out.c,.c,250,9,01656b2e5dda97c934a12ce299653ee0fe05b2b9911233eb5aa834cea8a3c5bd
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/array-access/mwcc-o4p.s,.s,1393,36,87790194562ef1638d7fad38d2981fc3ebf7e61daf3851f708f810a72c62a578
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/array-access/orig.c,.c,387,22,72e61661ce4dc0bb6764cc1286cd36ed62b6b519badec202d11a017a8b59c897
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arrays/irix-g-out.c,.c,262,8,620223c9b20aa1ef5b61f4d07b9be0f66a0f7f0d4749b3f0e2d86809f25762dd
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arrays/irix-g.s,.s,1691,39,f24d1415602d9fae1182fa70738bc2209c62bc6351423e35db65364646cdc865
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arrays/irix-o2-out.c,.c,296,11,38a6caee9ebb76f9f0be8cd6fb62b37d911fda226543731bda949625e026dc79
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arrays/irix-o2.s,.s,1493,34,0f66709722e27553623674dea974bdfe07f3990adfabb3f28db559fcabc2ffe0
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arrays/mwcc-o4p-flags.txt,.txt,20,1,2bf07e69816a4bcbb348d7cab0d9502c232044c96b4eef87adddfef432d950e8
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arrays/mwcc-o4p-out.c,.c,351,13,eadc56869d03cfe4ce2d2c96995f3a514447dfec75f4702c3b6e01f000f81175
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arrays/mwcc-o4p.s,.s,1464,44,01e99b407e5d0624bcfd1083c7752e51bd0a6e6289a8b96907ee8c63565ac38d
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/arrays/orig.c,.c,224,11,622cc6a48e18adbf78eed6365417f787c5086dc149dcd5f706c881a2dba91d5b
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/ppc2cpp/mips_to_c_ppc2cpp_branch/tests/end_to_end/branch-likely-b/manual-out.c,.c,54,4,8a36c80b865440401dd6faca1edbcd3254bde588abbd18d61cbac12b5bd863cd
