source_row,row_text,A,B,C,D
45,0x80 | P5 KOs | Int,0x80,P5 KOs,Int,
46,0x84 | P6 KOs | Int,0x84,P6 KOs,Int,
47,"0x88 | Match Frame Count | Int. If -1 in zz_0035184, then it's set to MatchInfo->frame_count",0x88,Match Frame Count,"Int. If -1 in zz_0035184, then it's set to MatchInfo->frame_count",
48,0x8C | Suicide Count | Short,0x8C,Suicide Count,Short,
49,0x8E | Stocks | Byte,0x8E,Stocks,Byte,
50,0x8F | 00? | Byte,0x8F,00?,Byte,
51,0x90 | Current Coins | Int,0x90,Current Coins,Int,
52,0x94 | Total Coins Collected | Int,0x94,Total Coins Collected,Int,
53,0x98 | ?,0x98,?,,
54,0x9C | ? | Int.,0x9C,?,Int.,
55,0xA0 | Joystick Direction Input Count | Int. Incremented every time you move the joystick a different direction from neutral.,0xA0,Joystick Direction Input Count,Int. Incremented every time you move the joystick a different direction from neutral.,
56,0xA4 | ?,0xA4,?,,
57,0xA8 | Name Tag Slot ID,0xA8,Name Tag Slot ID,,
58,0xAC | Bit Flags | Byte. (Multi-Spawn - 0x40 = True) (Rumble Flag bit 24),0xAC,Bit Flags,Byte. (Multi-Spawn - 0x40 = True) (Rumble Flag bit 24),
59,0xAD | ?,0xAD,?,,
60,0xAE | ?,0xAE,?,,
61,0xAF | ?,0xAF,?,,
62,0xB0 | Pointer to Player Entity,0xB0,Pointer to Player Entity,,
63,"0xB4 | Pointer to Sub-Character Entity | Used for followers, such as Nana",0xB4,Pointer to Sub-Character Entity,"Used for followers, such as Nana",
64,0xBC | Stale Move Table Current Write Index | Int. Zero-Indexed. Rolls over after 9. Increments after each write.,0xBC,Stale Move Table Current Write Index,Int. Zero-Indexed. Rolls over after 9. Increments after each write.,
65,0xC0 | Stale Move Index 0 | 1st Short is the move ID,0xC0,Stale Move Index 0,1st Short is the move ID,
66,0xC4 | Stale Move Index 1 | 2nd Short is the # of action states that character has gone through this game,0xC4,Stale Move Index 1,2nd Short is the # of action states that character has gone through this game,
67,0xC8 | Stale Move Index 2,0xC8,Stale Move Index 2,,
68,0xCC | Stale Move Index 3,0xCC,Stale Move Index 3,,
69,0xD0 | Stale Move Index 4,0xD0,Stale Move Index 4,,
70,0xD4 | Stale Move Index 5,0xD4,Stale Move Index 5,,
71,0xD8 | Stale Move Index 6,0xD8,Stale Move Index 6,,
72,0xDC | Stale Move Index 7,0xDC,Stale Move Index 7,,
73,0xE0 | Stale Move Index 8,0xE0,Stale Move Index 8,,
74,0xE4 | Stale Move Index 9,0xE4,Stale Move Index 9,,
75,"0xE8 | Total Player Attack Count | Int. Incremented by 1 with each attack, hit or miss",0xE8,Total Player Attack Count,"Int. Incremented by 1 with each attack, hit or miss",
76,0xEC | ? | Int.,0xEC,?,Int.,
78,0x6A8 | ? | Accessed by 800362B4,0x6A8,?,Accessed by 800362B4,
79,0x66C | Dash Forward Count,0x66C,Dash Forward Count,,
80,0x674 | Jump Count,0x674,Jump Count,,
81,0x690 | Ledge Grab Count,0x690,Ledge Grab Count,,
82,0x694 | Taunt Count | *,0x694,Taunt Count,*,
83,0x69C | Shield Count,0x69C,Shield Count,,
85,0xD18 | Total Connected Attacks | Int. Incremented when an attack lands,0xD18,Total Connected Attacks,Int. Incremented when an attack lands,
86,0xD1C | Total Damage Received | Float.,0xD1C,Total Damage Received,Float.,
87,0xD20 | Peak Damage Received | Float. Reflects the highest amount of damage received in a single life,0xD20,Peak Damage Received,Float. Reflects the highest amount of damage received in a single life,
88,0xD28 | Total Damage Given | Float.,0xD28,Total Damage Given,Float.,
89,0xD38 | Total Damage Received (Repeated?) | Float.,0xD38,Total Damage Received (Repeated?),Float.,
91,"START Player Entity Struct | Length 0x38 | Refers to values starting from the ""data pointer,"" also known as a GObj",START Player Entity Struct,Length 0x38,"Refers to values starting from the ""data pointer,"" also known as a GObj",
92,0x00 | Entity Class | Short. 0x0004 indicates a Player.  Ex. 0x00040805,0x00,Entity Class,Short. 0x0004 indicates a Player.  Ex. 0x00040805,
93,0x02 | p_link | Byte.,0x02,p_link,Byte.,
94,"0x03 | gx_link | Byte. Index into 2 arrays (highest render priority & lowest) of various GObjs for rendering, essentially indicating object type.",0x03,gx_link,"Byte. Index into 2 arrays (highest render priority & lowest) of various GObjs for rendering, essentially indicating object type.",
95,0x04 | P Priority | Byte. Reference 8038ffb8,0x04,P Priority,Byte. Reference 8038ffb8,
96,0x05 | GX Render priority | Byte. Reference 8039069C,0x05,GX Render priority,Byte. Reference 8039069C,
97,0x06 | obj_kind | Byte. Set to 0xFF for NO REF.,0x06,obj_kind,Byte. Set to 0xFF for NO REF.,
98,0x07 | data_kind | Byte. Set to 0xFF for NO REF.,0x07,data_kind,Byte. Set to 0xFF for NO REF.,
99,"0x08 | Next player's data pointer | Data pointers are ""daisy-chained,"" so each subsequent player is accessed from the data pointer of the previous",0x08,Next player's data pointer,"Data pointers are ""daisy-chained,"" so each subsequent player is accessed from the data pointer of the previous",
100,"0x0C | Previous player's data pointer | For P2+, this points to P(n - 1)",0x0C,Previous player's data pointer,"For P2+, this points to P(n - 1)",
101,0x10 | Next player's data pointer - GX Ordered | This points to the lower render priority GObj relative to this one.,0x10,Next player's data pointer - GX Ordered,This points to the lower render priority GObj relative to this one.,
102,0x14 | Previous player's data pointer - GX Ordered | This points to the higher render priority GObj relative to this one.,0x14,Previous player's data pointer - GX Ordered,This points to the higher render priority GObj relative to this one.,
103,0x18 | Pointer to GObjProc,0x18,Pointer to GObjProc,,
104,"0x1C | GXCallback Render Function | 0x80080E18(entity*, int code)",0x1C,GXCallback Render Function,"0x80080E18(entity*, int code)",
