source_row,row_text,A,B,C,D
485,"0x211C | Frame number at which a fully charged smash initiates (float) | default = 0x42700000 = 60 | This isn't accurate for Fox. For him, it's a pointer to 0x2124. So, this is likely some kind of struct that needs to be better understood.",0x211C,Frame number at which a fully charged smash initiates (float),default = 0x42700000 = 60,"This isn't accurate for Fox. For him, it's a pointer to 0x2124. So, this is likely some kind of struct that needs to be better understood."
486,0x2120 | Charged smash attack strength multiplier,0x2120,Charged smash attack strength multiplier,,
487,0x2124 | Charged smash attack animation speed multiplier (attack animation only),0x2124,Charged smash attack animation speed multiplier (attack animation only),,
488,0x2188 | ???,0x2188,???,,
489,0x218C | ??? | Int. Some kind of timer. Seems to count down on attacks and up during states like Wait,0x218C,???,Int. Some kind of timer. Seems to count down on attacks and up during states like Wait,
490,0x219C | Current Action State IASA Function Pointer,0x219C,Current Action State IASA Function Pointer,,
491,0x21A0 | Current Action State Animation Interrupt Pointer,0x21A0,Current Action State Animation Interrupt Pointer,,
492,0x21A4 | Current Action State Physics Pointer,0x21A4,Current Action State Physics Pointer,,
493,0x21A8 | Current Action State Collision Interrupt Pointer,0x21A8,Current Action State Collision Interrupt Pointer,,
494,0x21AC | Current Action State Camera Behavior Pointer,0x21AC,Current Action State Camera Behavior Pointer,,
495,0x21BC | Projectile Spawn Function Pointer | 800E1178 is an example of this being set for Mario's Special N.,0x21BC,Projectile Spawn Function Pointer,800E1178 is an example of this being set for Mario's Special N.,
496,"0x21C0 | Pointer to function to execute on-hit | Used by Link/YL dair and possibly others. Works for any grounded or aerial normal, but it seems not to be evaluated for specials.",0x21C0,Pointer to function to execute on-hit,"Used by Link/YL dair and possibly others. Works for any grounded or aerial normal, but it seems not to be evaluated for specials.",
497,0x21C4 | Function to run on Shield Hit,0x21C4,Function to run on Shield Hit,,
498,0x21C8 | Function to run on Reflect Hit,0x21C8,Function to run on Reflect Hit,,
499,0x21D4 | Function to run when player is hit,0x21D4,Function to run when player is hit,,
500,0x21D8 | Function to run when player leaves hitlag,0x21D8,Function to run when player leaves hitlag,,
501,0x21DC | Function to run when player is hit,0x21DC,Function to run when player is hit,,
502,0x21E4,0x21E4,,,
503,0x21EC | Function to run when player is thrown | Function is run after kirby Up-Throw hit's the ground. blrl for this exists at 80069bd8 inside ActionStateChange,0x21EC,Function to run when player is thrown,Function is run after kirby Up-Throw hit's the ground. blrl for this exists at 80069bd8 inside ActionStateChange,
504,0x21F4 | Function to run when white detection bubbles collide,0x21F4,Function to run when white detection bubbles collide,,
505,"0x21FC | Collision bubble toggle (8-bit) | 01=no collision bubbles (default), 02=collision bubbles & no char textures, 03=overlayed bubbles",0x21FC,Collision bubble toggle (8-bit),"01=no collision bubbles (default), 02=collision bubbles & no char textures, 03=overlayed bubbles",
506,0x2200 | ??? | Int. Checked == 0 in 800e4f48 and set to 0 if != 0,0x2200,???,Int. Checked == 0 in 800e4f48 and set to 0 if != 0,
507,"0x2204 | Flag to Init Reflect Hitbox | Checked for Mario Cape @ 800e1668, equals 1 when reflect hitbox should be active // Used during Fox/Falco's Shine at 800e65bc",0x2204,Flag to Init Reflect Hitbox,"Checked for Mario Cape @ 800e1668, equals 1 when reflect hitbox should be active // Used during Fox/Falco's Shine at 800e65bc",
508,0x220C | ??? Flags | Compared with 2 during Fox/Falco's shine at 800e65bc,0x220C,??? Flags,Compared with 2 during Fox/Falco's shine at 800e65bc,
509,0x2210 | ??? Flags | Byte. Mario's fireball spawn (800E0EE0) checks bit 24 == 1,0x2210,??? Flags,Byte. Mario's fireball spawn (800E0EE0) checks bit 24 == 1,
510,0x2218 | IASA Flags | Byte. Checked and modified with 80093bc0 and 80093cd0. 0x80 = IASA enabled. Set by 80071950 (Subaction 0x5C),0x2218,IASA Flags,Byte. Checked and modified with 80093bc0 and 80093cd0. 0x80 = IASA enabled. Set by 80071950 (Subaction 0x5C),
511,"0x2219 | Various Flags | Byte. 0x01 = Character's hitlag is dependent on another character. Dependent hitlag doesn't end when the hitlag frames run out. The dependency is broken by the another character nulling this flag, or by having dependency break flag set.  0x02 = Hitlag active since frame beginning, doesn't seem to be used much. 0x04 = Hitlag flag. 0x10 = Clear hitboxes on action-state change. 0x20 = Disable KOs. 0x40 = Disable stage collisions.",0x2219,Various Flags,"Byte. 0x01 = Character's hitlag is dependent on another character. Dependent hitlag doesn't end when the hitlag frames run out. The dependency is broken by the another character nulling this flag, or by having dependency break flag set.  0x02 = Hitlag active since frame beginning, doesn't seem to be used much. 0x04 = Hitlag flag. 0x10 = Clear hitboxes on action-state change. 0x20 = Disable KOs. 0x40 = Disable stage collisions.",
