source_file,line,section,address,size,virtual_address,flags,name,is_placeholder
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,85,.text,0x8000a95c,0x000001d0,0x8000a95c,0,CollisionBubbles_DisplayReflector,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,86,.text,0x8000ab2c,0x000001d0,0x8000ab2c,0,zz_000ab2c_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,87,.text,0x8000acfc,0x00000090,0x8000acfc,0,"Hitbox_HurtbubbleCollision_CheckPreviousHitPlayers(r3=Victim,r4=HitboxStruct)",false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,88,.text,0x8000ad8c,0x0000000c,0x8000ad8c,0,Language_GetLanguageSetting,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,89,.text,0x8000ad98,0x0000001c,0x8000ad98,0,Language_SetLanguageSetting,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,90,.text,0x8000adb4,0x00000020,0x8000adb4,0,Language_CheckIfJapanese,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,91,.text,0x8000add4,0x00000020,0x8000add4,0,Language_CheckIfEnglish,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,92,.text,0x8000adf4,0x00000024,0x8000adf4,0,Language_GetLanguage,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,93,.text,0x8000ae18,0x00000040,0x8000ae18,0,LanguageSwitch_SetLanguage,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,94,.text,0x8000ae58,0x00000038,0x8000ae58,0,LanguageSwitch_LoadCurrent_CompareJAP,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,95,.text,0x8000ae90,0x00000038,0x8000ae90,0,LanguageSwitch_LoadCurrent_CompareUS,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,96,.text,0x8000aec8,0x0000001c,0x8000aec8,0,zz_000aec8_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,97,.text,0x8000aee4,0x00000040,0x8000aee4,0,zz_000aee4_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,98,.text,0x8000af24,0x00000050,0x8000af24,0,zz_000af24_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,99,.text,0x8000af74,0x00000048,0x8000af74,0,zz_000af74_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,100,.text,0x8000afbc,0x0000006c,0x8000afbc,0,zz_000afbc_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,101,.text,0x8000b028,0x0000004c,0x8000b028,0,zz_000b028_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,102,.text,0x8000b074,0x00000028,0x8000b074,0,CheckIfBoneSomething(r3=BonePointer),false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,103,.text,0x8000b09c,0x00000098,0x8000b09c,0,HSD_AObjCheckEnd,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,104,.text,0x8000b134,0x00000098,0x8000b134,0,zz_000b134_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,105,.text,0x8000b1cc,0x00000330,0x8000b1cc,0,"JObj_GetWorldPos(r3=JObj,r4=UnkPointer,r5=StoreResult)",false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,106,.text,0x8000b4fc,0x000000e0,0x8000b4fc,0,"JObj_CopyScale(r3=JObj,r4=Source)",false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,107,.text,0x8000b5dc,0x000000c8,0x8000b5dc,0,zz_000b5dc_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,108,.text,0x8000b6a4,0x000000bc,0x8000b6a4,0,zz_000b6a4_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,109,.text,0x8000b760,0x000000a4,0x8000b760,0,zz_000b760_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,110,.text,0x8000b804,0x000001d4,0x8000b804,0,DATfile_BoneStructure_Copy,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,111,.text,0x8000b9d8,0x00000034,0x8000b9d8,0,Item_ChangeAnimationRate?,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,112,.text,0x8000ba0c,0x00000038,0x8000ba0c,0,Item_ApplyAnimationRate?,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,113,.text,0x8000ba44,0x000000e0,0x8000ba44,0,zz_000ba44_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,114,.text,0x8000bb24,0x000000e0,0x8000bb24,0,zz_000bb24_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,115,.text,0x8000bc04,0x00000124,0x8000bc04,0,JObj_Something,false
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,116,.text,0x8000bd28,0x0000008c,0x8000bd28,0,zz_000bd28_,true
decomp-orchestrator/knowledge/sources/code_context/external_mirrors/data/training_mode/GTME01.map,117,.text,0x8000bdb4,0x0000008c,0x8000bdb4,0,HSD_AObjGetCurrentFrame,false
